Predicted	True	Reviews
TRUTHFULPOSITIVE	DECEPTIVEPOSITIVE	Very nice hotel, better than expected. The hot breakfast is great in the morning, but the Dinner at night goes above and beyond (even free wine!) The rooms are pretty good size, well furnished, and clean. I liked the view from my room. I used the fitness center and although did not have everything I would have liked, was adequate. I will say the pool is really nice and offers a pretty sweet view. The staff was friendly and helpful; being my first time in Chicago they were able to point me in the right direction and saved me some frustration. I would definitely recommend this hotel. 
TRUTHFULPOSITIVE	TRUTHFULNEGATIVE	We ate at the Prime House restaurant last year, that is why we picked the hotel. Last year the food and service at the Prime House was outstanding. This year the service felt rushed. The waitress even asked why we were eating so early. It was 6:30pm. Our room in the hotel felt cramped. The beds were comfortable. The bathroom had maintenance problems. The maid service and turndown out night was good. All of the staff at the hotel were friendly and helpful. I just was not impressed by the quality of the hotel itself for what we were paying.
TRUTHFULNEGATIVE	TRUTHFULPOSITIVE	Very quaint and romantic, yet masculine. I've noticed that at most Chicago hotel bars it's hard to get a drink much less a seat but I guess because it's a small hotel that was not a problem at the Talbott - plus people take their drinks out to the seating in the lobby because it's so inviting - cozy and comfortable - love that! Would love to stay again but I must say that I was surprised by all the comments on the comfortable beds - ours was too firm. Also note there is no gym on the premises - but walking and shopping is enough of a workout! 
DECEPTIVENEGATIVE	TRUTHFULNEGATIVE	I stayed @ Affinia for one night on a purpose not to drive all the way from NW suburbs to Women's hospital oir my surgery. Few things I really didn't enjoy - I could hear noise from outside all night long as well as inside noise from slamming doors.No noise insulation at all! Very dusty between window frames(I understand - cars,pollution) but it looked like it wasn't cleaned for a very long time.One more thing really made me upset - broken blinds on a right side. I was unable to pull them down to enjoy my sleep time...We didn't notice the problem until very-very late.The Affinia hotel serving tourists and guests of Chicago as well as Northwestern Hospital patients and their families - which really need extra privacy and comfort ! Strange but every hotel I stayed @ was supplied with the SEALED roll of toilet paper.Affinia didn't even offer that.Looked like someone used a bathroom right after it was taking care of by a cleaning lady! Neither toilet paper nor toilet seat were sealed for us to use!!!!!!!!!!!! Hopefully,no more surgeries for me...Won't stay @ this place for leisure - even with discount!
TRUTHFULPOSITIVE	TRUTHFULNEGATIVE	at check in, the girl gave us a smoking room. we asked for nonsmoking. i had to get another room. it was by the elevators. loud! really loud!. the new room didn't have a shower door. so every day water spilled on to the floor and wet the carpet. the public transportation is amazing. you don't need a car in chicago. you can get anywhere by train or bus. it's fast too. Area recommendations chicago is great! good shopping, good food (ginos east!!!) and great bars. the tornado that knocked out the windows in the sears tower was really cool! i loved being in the hardest rain storm i've ever seen!
DECEPTIVEPOSITIVE	DECEPTIVENEGATIVE	Traveled to this hotel on a family vacation. We chose this hotel because it was pet friendly. Upon arrival we smelled just how pet friendly it was! The dog that greets you attacked my dog. There was constant barking throughout the night and during breakfast, I found hair in my eggs! I would not recommend this hotel!
DECEPTIVENEGATIVE	DECEPTIVEPOSITIVE	"I first walk into the beautifully decorated lobby of the Affinia Chicago hotel where I'm greeted by name by the concierge. He tells me that they have taken the liberty of customizing the room to my profile from when I booked the stay. He shows me to my room (paying careful attention to my bags, and ensuring that I needn't lift a finger) sure enough, the down pillow I had selcted from the dream pillow menu sits proudly atop the queen of the domain, which by the way is covered with the softest of bedspreads making me wonder if they didn't literally drag a cloud in here and fit it on my bed. I notice that there's a display of champagne and cupcakes (!) atop the dresser and my ""experience kit"" which comes complete with an ipod shuffle downloaded with only my favorite workout tracks, and a yoga mat. namaste. Unable to resist the urge to inspect the bathroom, I find that not only is there a marble tiled invisible glass shower, but a jacuzzi, lined with candles of vanilla, deep enough to bathe a walrus. Feeling girlish, I run the water and test before going to dinner. The Hotel's restraunt C-house offers the most delicious seafood menu that makes you think you're dining with the kings of paradise. or at least eating in the Caribbean itself. hmm, I should have brought a date."
TRUTHFULPOSITIVE	DECEPTIVEPOSITIVE	We stayed for two nights for a meeting. It is an upscale chain hotel and was very clean. The service was very good, as the hotel front desk employees were kind and knowledgeable. The rooms are decent sized and have soft mattresses. The restaurant has good seafood, but was a bit expensive. We would come back again. 
DECEPTIVEPOSITIVE	TRUTHFULPOSITIVE	We absolutely loved the Knickerbocker. Now, if you expect your hotels to be cookie cutter comfortable, forget this place. If Holiday Inns are like the rows of housing developments in the suburbs, the Knickerbocker is like those beautiful old houses in the center of the city. The location is great, the hotel bar is cozy and classy, and the rooms feel like guest bedrooms in Victorian mansions. For the price, you simply can't do any better than this in downtown Chicago. 
DECEPTIVEPOSITIVE	TRUTHFULPOSITIVE	My wife and I travelled to Chicago and really were treated like royalty by the hotel staff! (My brother and his wife also stayed during this period.) The front desk staff, the concierge, the Star Bucks server, the restaurant, the lounge servers . . . all were wonderful! The rooms were spacious and the flat screen tv was really great! The bath room was a real plus ... it was huge and had everything one desires. Great view from 20th floor to Michigan Avenue below! Overall, great stay and highly recommended! 
TRUTHFULPOSITIVE	DECEPTIVEPOSITIVE	I must say, this hotel is absolutely beautiful. My wife and I were blown away by the penthouse fitness center and pool all the way up on the 42nd floor. Very well designed rooms with great linens and pillows. The bathrooms were a nice change of pace from the boring hotel bathrooms we usually see. Overall an excellent experience here, great views and close to everything you could want to do in Chicago.
DECEPTIVENEGATIVE	TRUTHFULNEGATIVE	"The service was reasonably well...they seemed to have my reservation and checked me in fairly easily. The location was fine being that it was central to the city but I found out that it was also a tremendous drawback. It was interesting that the survey I took at the hotel in order to obtain internet access at the hotel asked what my most important quality was in a hotel visit and my response ""Quiet"". My visit was anything but, mainly attributed to the fact that they put me on the second floor, facing the street. I awoke at 4 a.m. and never did return to sleep because of the constant street noise and screeching of the L train that sounded as though it was just outside my window. Not the most conducive for a restful sleep prior to an important meeting. At check-out when I informed the hotel clerk of my dissatisfation he chuckled and said, "" Ah, city noise."""
DECEPTIVENEGATIVE	TRUTHFULNEGATIVE	This was a gorgeous hotel from the outside and in the lobby. However, when we reached the elevator things started to look quite dingy. Our bathrooms in our room had grout that was in need of a deep scrubbing and had an overall appearance of dirty. Wireless internet is available, but that's an additional fee. Are you kidding? Even the roach motel offers wireless for free! Also, the fitness room was available for only $15 per day. Wow, I thought the room rate was enough to cover that. When I used the coffee supplies in the room, they were not replenished. I called the next morning requesting more and was told that wasn't housekeeping's area but they would send some up. No kidding, nearly 90 minutes later I got the cream and sugar! Glad I wasn't in a big hurry. I'll definitely be staying next door for half the cost and a lot better accommodations the next time I'm in Chicago!
TRUTHFULNEGATIVE	TRUTHFULPOSITIVE	Simply a nice place to stay... I had a great deal for the room, and was impressed with the quality. Hotel staff was very helpful; they were able to let me check out and helped me print boarding passes. Negative: It is frustrating that nowadays you do not have free internet in most hotels and it's the same here; you have to pay for the internet. Negative: Loud on the phone you may hear your neighbors on the phone, or them shower. 
DECEPTIVENEGATIVE	TRUTHFULNEGATIVE	Our non-smoking room smelled very badly of stale cigarette smoke. We were not allowed to change rooms. Also, the concierge staff was unprofessional, telling long winded personal stories to uninterested guests while long lines formed. The location was great. Hotel is dated, but would still be a nice place to stay if it weren't for customer service issues.
DECEPTIVENEGATIVE	DECEPTIVEPOSITIVE	I frequently have business meetings in Downtown Chicago and find that the Hotel Monaco Chicago, gives me the peace of mind to make those meetings enjoyable. While it might be more expensive than your average hotel....but there is nothing average in this hotel. Exceeds any expectations - service, food, quality, atmosphere were heads above anywhere. Thanks for making my trips to Chicago - the best of the best.
TRUTHFULNEGATIVE	TRUTHFULPOSITIVE	I LOVED this hotel. The room was so chic and trendy, the bed was comfortable, great slippers and robes. I love the Keihl's bath products in the bathroom. We went during my birthday weekend, and they had a card and plate with pastries waiting in the room. We got a great deal on a junior suite from Travelzoo, but when we tried to take another trip to Chicago, the deal was gone. I really recommend the hotel. I LOVED it. The ONLY problem we had was with the David Burke Steakhouse. The service was horrible, they switched our order with the table next to our's and the only compensation was they took off a $7 side dish we ordered (and they were nice enough to NOT charge us for the other side dish we DIDN'T get). DON'T go there. Go to the Lawry's accross the street. But stay at the James. (BTW- its not a 3-star hotel like the website lists- its at least 4-star) 
TRUTHFULNEGATIVE	DECEPTIVENEGATIVE	Terrible experience, I will not stay here again. The walls were so thin that I was kept up all night by the party going on in the suite next to mine. I talked to the management several times, but nothing was done. It may just be the people that I had contact with, but I thought the staff was standoffish and rude. Very unpleasant experience, especially given the cost of staying here!
DECEPTIVEPOSITIVE	TRUTHFULPOSITIVE	My husband and I decided to take a trip to Chicago at the last minute and quickly chose the Conrad, not really knowing it's location. We were pleasantly surprised to find it was almost right on Michigan Ave. (It's connect to Nordstroms right in the heart of downtown. ) Great for shopping. The hotel itself was fabulous. The staff was extremely helpful in giving suggestions for shows and restaurants. I recommend going to Joe's that's right across the street from the hotel. Everyone was raving about it . . .but we couldn't get a reservation. The room was wonderful and the bed and pillows were very comfortable. It had a very warm and inviting atmosphere. My husband loved the workout room. I highly recommend the Conrad!! 
DECEPTIVEPOSITIVE	TRUTHFULPOSITIVE	My husband and I stayed at the Hotel Monaco for 5 days in October, 2007. I cannot begain to tell you how great this place is. The service was impecable and the room was fantastic. Huge window seat to look over Chicago. It was great. The wine reception in the evening was a special treat as was the morning coffee service in the lobby. This was our first trip to Chicago and I hope not our last. I will definately stay at Hotel Monaco again when we return. We booked our room through a safety convention web site. 
DECEPTIVEPOSITIVE	TRUTHFULPOSITIVE	"This was our third trip to Chicago this year (we LOVE the city!) - every time we stay at a different downtown hotel. Swissotel was definitely our favourite. When we come back in July to see the play "" Wicked"" for the second time, we will be again at Swissotel. No more need to try other hotels! The location is good because it is between the financial district and the Magnificent Mile. The room was spotless and quiet, the view amazing and those elevators were so fast. Comfortable beds, friendly service, not as many noisy sirens! We even watched the Navy Pier fireworks from our bed! This was the best anniversary ever. We would recommend Swissotel to everyone! "
DECEPTIVENEGATIVE	TRUTHFULNEGATIVE	"This morning, I checked out and left behind one of the worst hotel experiences I've ever had: Hard Rock Hotel, Chicago. I am in disbelief that this hotel is part of the ""Preferred Hotels"" group. Upon checking in, I was ""greeted"" by a front desk staff that had better things to be doing and let it show. My room was poorly lit and dirty. The desk/desk chair was covered in sticky, dried soda pop (or something else?) which I had to clean myself so I could work. The ""sound system"" was put to shame by my 10-year-old daughter's boombox. No one, rock star or otherwise, wants to reach more than an arm's length for toilet paper. Everything is possible. This includes hiring professional and courteous staff to answer customer calls that are directed to the ""everything is possible"" line. Great marketing fails with no follow through. The in-room mini-bar policy ranks in my personal top-five most ridiculous business practices of all time. Do you charge Steven Tyler $7.81 for opening his in-room 'fridge? Looking back, I would have much preferred enjoying cocktails in my dirty room rather than the dirty, drafty, overpriced bar (with a horrendous wine list) With the exception of the fact that I was leaving, check-out was no better than checking in. I wasn't even asked about my stay! The young woman who provided me with a copy of my bill could not have been more unpleasant. I, for one, will not bring my business back to that location. Next time I'm in Chicago, I'm staying at the Hyatt. Rock on, TripStarr"
TRUTHFULNEGATIVE	DECEPTIVENEGATIVE	We booked an American Girl Place package at Fairmont Chicago Millennium Park. Told that we'd have a room with a nice view, apparently their idea of a nice view is of another building! Ended up getting a smoking room when we booked non-smoking, cost us $100 more a night than we were told, and staff was incredibly rude at the restaurant. Would never recommend coming here for any reason whatsoever!
TRUTHFULNEGATIVE	DECEPTIVENEGATIVE	The hotel was not one of the better ones I stayed at. the room was seemingly nice at first, but after staying there for a few days it seemed like the cleaning staff never came through to clean it. I had the same sheets for a three days before I called and requested they be changed. Also, the walls seem to be paper thin and you can hear what is going on in the adjacent rooms, which interfered with my sleep. I ate at the primehouse in the restaurant also, and asked for a well done steak, and the steak was still pretty pink on the inside and lacked flavor. This is definitely not a hotel I would recommend to anyone.
DECEPTIVEPOSITIVE	TRUTHFULPOSITIVE	Dispite what other are saying, this was one, if not the best Hotel stay in Chicago I have had. I travel to the Big City about three times a year for pleasure and The James rates up with the best. I was upgraded and the staff made the stay worth my special weekend visit. I don't believe you will be disapointed. 
DECEPTIVENEGATIVE	TRUTHFULNEGATIVE	My friend book this hotel for us for a girls weekend in Chicago. Lets just say we were thankful we didn't have to spend much time in the room. The carpet was so stained it looked like it was suppose to be that way. The furniture was worn and outdated. The place was gross and just wasn't worth the money we spent on it. The only redeeming quality was the door man, we was very nice and helpful.
TRUTHFULNEGATIVE	TRUTHFULPOSITIVE	I try to stay at the James every time I happen to be in Chicago. There are other good choices in town, but nobody has what the James offers: superior service - aka class meets efficiency -, metropolitan design and comfort with an attention to details I found only at the W in Seoul, and what always plays a role meaning a convenient location ... Then they get to you with small unexpected touches that make the difference ie: I was about to take off and drive North, it was a hot July day...one of the staff members handed me a bottle of water. A small gesture. Unexpected and appreciated. The management AND the staff understand what we expect and more importantly, what we need. AND they consistenly execute against that. 
TRUTHFULNEGATIVE	TRUTHFULPOSITIVE	"As we pulled away in a taxi heading to the airport for our trip home my wife turned to me and said ""We picked the right place."" Having chosen the Talbott from other Trip Advisor reviews I found myself thinking in terms of a Trip Advisor review when we arrived. Nice entrance, friendly reception, I noticed everything and immediately knew the Talbott was a non-corporate warm hotel with touches not typically seen in big name hotel chains. The smell of the elevator and attention to decorative details strongly reminded me of Europe, simple, not overstated but elegant. The location is great, there was light snow but we walked to the Art Institute, Rush Street, the Theater District, and we're from California where anything below 50 degrees keeps us inside! All I can say is if you are the kind of traveler that wants comfort, class and somewhere unique, stay at the Talbott. Oh yeah, we were in a room that looked down at the construction, we were on the 15th floor and could not hear a sound, it was very quiet. "
TRUTHFULNEGATIVE	DECEPTIVENEGATIVE	Though grand and having a brand, this hotel seems to disappoint me on certain fronts. 1. Staff seemed snooty and arrogant. 2. Request for upgrade was fulfilled only after repetitive requests.The initial room was very small. 3. for the cost paid I would expect a coffee maker, free internet service at the least which even regular B&Bs offer. 4.They will levy charges on each and everything.Complete rip off Other things matched the Grandeur.Cleanliness and location was good, but the staff made my stay unpleasant.
TRUTHFULNEGATIVE	DECEPTIVENEGATIVE	I have been stayed in Allegro for two days. There are not other big prolems but one thing I'm not satisfied with is the light. It is dark in the room. Also in the bathroom, the light is not good. I have to open curtains. I have complained about this to their reception. They said they will fix it, but I did not get any response. I am very disappointed and I will never come back again.
DECEPTIVEPOSITIVE	TRUTHFULPOSITIVE	My wife and I stayed here in the middle of February 2005. We took the (EL) subway to the hotel from O'Hare. It was very convenient. The lobby was nice and the room was clean and comfortable. I've stayed in many a hotel room, this bed was the most comfortable I've ever slept in. The hotel is located in a great area and close to everything. Walking distance to almost all the interesting sites Chicago has. Would definetly recommend this hotel to anyone visiting this great city. 
DECEPTIVEPOSITIVE	TRUTHFULPOSITIVE	"My husband and I stayed at the Sheraton Chicago Hotel & Towers in February. Everything about the hotel and experience was superb. The location was wonderful as well. Our room overlooked the river and we had a great view of the lake towards Navy Pier. The best part of the stay was the ""sweet sleeper"" bed. It was so comfortable. The staff was friendly and helpful as well. Nothing bad to say about this Sheraton! I will stay here again! "
TRUTHFULPOSITIVE	TRUTHFULNEGATIVE	"great bed, but when I first came in, I requested a room with a lake view (i requested this over the phone as well), and the front desk woman said ""this is a great room"". I go upstairs and its awful looking. The view was of the neighboring roofs. Then I spent half an hour trying to find a better room. Eventually I got a corner roof with a partial view. Horrible experience. also rooms were small and had crappy look (yellowy wallpaper and bedsheets)"
DECEPTIVENEGATIVE	DECEPTIVEPOSITIVE	When I was asked to stay at the Swissotel in Chicago, I immediately went to their website to check them out. What I found there was decent, nothing really stood out. It wasn't until I actually went there that my eyes were opened. The amazing customer service I received there was exceptional. Every whim and detail I asked for they helped me perfectly. The room was neatly fixed when I arrived and was cleaned every day. When I asked about more towels, the maids were happy to help me out. If I were ever to be in that area again, I know exactly where I'm staying, the Swissotel.
DECEPTIVEPOSITIVE	TRUTHFULPOSITIVE	My husband and I wanted to spend the weekend in Chicago to celebrate our anniversary, and I had been looking at the James for awhile because it was attached to David Burke's Primehouse. From the moment I called to make my reservation, I knew this hotel understood what customer service means to a consumer and a picky one at that. From the pre-arrival dossier, to the special sweets from the staff to kick off our anniversary weekend and a hand written note thanking us for staying at the James, this staff is well versed in the long lost art of customer service. The rooms were well appointed and the beds comfy and warm on a cool weekend. The walking distance to Michigan Av is a huge plus. From the front desk to the cleaning staff, the staff here is top notch! And David Burke's Primehouse is not to be missed! 
DECEPTIVEPOSITIVE	TRUTHFULPOSITIVE	I visited Chicago with my two teenage daughters. Homewood Suites is amazing. The complimentary breakfast and receptions offer so much variety. The hotel was within walking distance to many places to eat and shop. We got caught in a thunderstorm, and got soaking wet. I dried all our clothes in the dryer right in the hotel! The Homewood Suites was so much like home. The suite was very spacious and had everything we needed. The hotel had lots of brochures and suggestions for dining and activities. The staff was so friendly and helpful. Chicago is an amazing place and the Homewood Suites is the place to stay. I would definitely stay there again. 
